YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-12,WEEKDAY,21,TRAIN,EW15,47950,9535
2025-12,WEEKDAY,15,TRAIN,SE5,2107,2426
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,PE3,2457,3146
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,EW14/NS26,10369,10703
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,CC28,1676,2030
2025-12,WEEKDAY,20,TRAIN,CC19/DT9,4221,4065
2025-12,WEEKDAY,20,TRAIN,NS27/CE2/TE20,7343,5545
2025-12,WEEKDAY,15,TRAIN,CC8,6385,6401
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,EW27,21598,31548
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,CE1/DT16,29040,2987
2025-12,WEEKENDS/HOLIDAY,22,TRAIN,EW11,4298,6438
2025-12,WEEKENDS/HOLIDAY,7,TRAIN,DT29,3101,1201
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,DT30,5089,1560
2025-12,WEEKDAY,17,TRAIN,EW11,35772,23288
2025-12,WEEKDAY,17,TRAIN,NS16,58612,78655
2025-12,WEEKDAY,14,TRAIN,SW1,3412,3516
2025-12,WEEKDAY,15,TRAIN,PW4,4224,4578
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,PE1,2225,791
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,TE26,7769,6660
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,NE17/PTC,22507,25679
2025-12,WEEKDAY,20,TRAIN,NS15,17297,15379
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,NS9/TE2,7246,15941
2025-12,WEEKDAY,20,TRAIN,EW20,9517,14491
2025-12,WEEKDAY,6,TRAIN,DT13,5446,2785
2025-12,WEEKDAY,18,TRAIN,CC3,23326,14179
2025-12,WEEKDAY,20,TRAIN,CC20,2897,5569
2025-12,WEEKDAY,5,TRAIN,DT10,71,43
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,TE25,6,0
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,TE7,2607,2261
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,NS11,18601,14653
2025-12,WEEKDAY,12,TRAIN,NS23,28516,62829
2025-12,WEEKENDS/HOLIDAY,14,TRAIN,EW1,11355,10378
2025-12,WEEKDAY,17,TRAIN,NE13,29039,35339
2025-12,WEEKDAY,18,TRAIN,NS13,69553,183063
2025-12,WEEKDAY,19,TRAIN,NE17/PTC,49960,95363
